,mes,uf,gasto
127,2018-09-01,São Paulo,277.57616624
128,2018-10-01,São Paulo,301.45486705
129,2018-11-01,São Paulo,278.11430244
130,2018-12-01,São Paulo,266.2398008
131,2019-01-01,São Paulo,291.08140659
132,2019-02-01,São Paulo,267.6625087
133,2019-03-01,São Paulo,285.57631272000003
134,2019-04-01,São Paulo,292.58482835
135,2019-05-01,São Paulo,308.92559824
136,2019-06-01,São Paulo,281.40514678
137,2019-07-01,São Paulo,306.63398791000003
138,2019-08-01,São Paulo,302.36727677
139,2019-09-01,São Paulo,293.68571314999997
140,2019-10-01,São Paulo,303.3825271
141,2019-11-01,São Paulo,282.39177321
142,2019-12-01,São Paulo,272.69769504000004
143,2020-01-01,São Paulo,301.99116767000004
144,2020-02-01,São Paulo,271.35678404000004
145,2020-03-01,São Paulo,276.60628892
146,2020-04-01,São Paulo,251.69636266
147,2020-05-01,São Paulo,302.85766098
148,2020-06-01,São Paulo,299.06085162
149,2020-07-01,São Paulo,282.70957031
150,2008-02-01,Minas Gerais,70.3010895
151,2008-03-01,Minas Gerais,79.11900551000001
152,2008-04-01,Minas Gerais,79.04632241
153,2008-05-01,Minas Gerais,79.26807012
154,2008-06-01,Minas Gerais,79.60865253
155,2008-07-01,Minas Gerais,82.20022447
156,2008-08-01,Minas Gerais,80.37411708
157,2008-09-01,Minas Gerais,82.40014679000001
158,2008-10-01,Minas Gerais,88.6134766
159,2008-11-01,Minas Gerais,84.48699610999999
160,2008-12-01,Minas Gerais,88.9286303
161,2009-01-01,Minas Gerais,99.01815584
162,2009-02-01,Minas Gerais,83.67511983
163,2009-03-01,Minas Gerais,100.24065184
164,2009-04-01,Minas Gerais,91.83132537
165,2009-05-01,Minas Gerais,97.28970306999999
166,2009-06-01,Minas Gerais,95.72339653
167,2009-07-01,Minas Gerais,100.0500087
168,2009-08-01,Minas Gerais,98.96806476
169,2009-09-01,Minas Gerais,98.20211908
170,2009-10-01,Minas Gerais,96.96239426999999
171,2009-11-01,Minas Gerais,94.76763912999999
172,2009-12-01,Minas Gerais,92.41277073
173,2010-01-01,Minas Gerais,95.80655642
174,2010-02-01,Minas Gerais,90.76489028
175,2010-03-01,Minas Gerais,107.38985003
176,2010-04-01,Minas Gerais,100.82976737999999
177,2010-05-01,Minas Gerais,105.4855678
178,2010-06-01,Minas Gerais,99.66611596
179,2010-07-01,Minas Gerais,103.35699564
180,2010-08-01,Minas Gerais,107.84425969
181,2010-09-01,Minas Gerais,104.34113819
182,2010-10-01,Minas Gerais,100.52540388
183,2010-11-01,Minas Gerais,101.9436255
184,2010-12-01,Minas Gerais,99.5389536
185,2011-01-01,Minas Gerais,107.73891581999999
186,2011-02-01,Minas Gerais,103.14077307
187,2011-03-01,Minas Gerais,111.06599594
188,2011-04-01,Minas Gerais,106.09432928
189,2011-05-01,Minas Gerais,115.48719935
190,2011-06-01,Minas Gerais,110.06246087999999
191,2011-07-01,Minas Gerais,110.09695971
192,2011-08-01,Minas Gerais,114.96708294
193,2011-09-01,Minas Gerais,109.7605262
194,2011-10-01,Minas Gerais,111.44529868000001
195,2011-11-01,Minas Gerais,107.45512344
196,2011-12-01,Minas Gerais,107.70719905
197,2012-01-01,Minas Gerais,119.72912395
198,2012-02-01,Minas Gerais,107.15208811
199,2012-03-01,Minas Gerais,122.16346617
200,2012-04-01,Minas Gerais,112.56927874
201,2012-05-01,Minas Gerais,125.66712462999999
202,2012-06-01,Minas Gerais,115.76164239
203,2012-07-01,Minas Gerais,122.00727721999999
204,2012-08-01,Minas Gerais,123.93192367
205,2012-09-01,Minas Gerais,114.79220087
206,2012-10-01,Minas Gerais,122.09921056
207,2012-11-01,Minas Gerais,112.21164727
208,2012-12-01,Minas Gerais,110.2691654
209,2013-01-01,Minas Gerais,120.40818168000001
210,2013-02-01,Minas Gerais,107.89464744
211,2013-03-01,Minas Gerais,126.11786662
212,2013-04-01,Minas Gerais,131.2528953
213,2013-05-01,Minas Gerais,128.90889764
214,2013-06-01,Minas Gerais,126.74969943
215,2013-07-01,Minas Gerais,132.07937742000001
216,2013-08-01,Minas Gerais,130.21863431
217,2013-09-01,Minas Gerais,128.83491424
218,2013-10-01,Minas Gerais,134.27596554
219,2013-11-01,Minas Gerais,123.88883702
220,2013-12-01,Minas Gerais,124.20866826000001
221,2014-01-01,Minas Gerais,134.1561548
222,2014-02-01,Minas Gerais,127.95165433
223,2014-03-01,Minas Gerais,135.66519686
224,2014-04-01,Minas Gerais,138.37717469999998
225,2014-05-01,Minas Gerais,144.30355286000002
226,2014-06-01,Minas Gerais,134.14314346
227,2014-07-01,Minas Gerais,142.59669151
228,2014-08-01,Minas Gerais,138.77411263
229,2014-09-01,Minas Gerais,139.25742521
230,2014-10-01,Minas Gerais,143.67646188
231,2014-11-01,Minas Gerais,136.08071706
232,2014-12-01,Minas Gerais,131.24134853
233,2015-01-01,Minas Gerais,131.69563874
234,2015-02-01,Minas Gerais,126.03651047
235,2015-03-01,Minas Gerais,150.87504127
236,2015-04-01,Minas Gerais,142.58164131
237,2015-05-01,Minas Gerais,146.10451761000002
238,2015-06-01,Minas Gerais,142.89553096
239,2015-07-01,Minas Gerais,137.93992552
240,2015-08-01,Minas Gerais,140.77692148
241,2015-09-01,Minas Gerais,137.73378602
242,2015-10-01,Minas Gerais,140.16222198
243,2015-11-01,Minas Gerais,134.37352499000002
244,2015-12-01,Minas Gerais,129.6322703
245,2016-01-01,Minas Gerais,131.12346642
246,2016-02-01,Minas Gerais,127.36360581
247,2016-03-01,Minas Gerais,144.10512289
248,2016-04-01,Minas Gerais,136.0158927
249,2016-05-01,Minas Gerais,143.17850493
250,2016-06-01,Minas Gerais,140.72212767
251,2016-07-01,Minas Gerais,137.00214167
252,2016-08-01,Minas Gerais,143.74302018
253,2016-09-01,Minas Gerais,136.14565965
254,2016-10-01,Minas Gerais,138.40862287000002
255,2016-11-01,Minas Gerais,129.52889252
256,2016-12-01,Minas Gerais,132.62861772
257,2017-01-01,Minas Gerais,139.05293122
258,2017-02-01,Minas Gerais,129.33037204000001
259,2017-03-01,Minas Gerais,150.24220174
260,2017-04-01,Minas Gerais,136.71509944
261,2017-05-01,Minas Gerais,153.41211969
262,2017-06-01,Minas Gerais,144.29143809
263,2017-07-01,Minas Gerais,147.53349674
264,2017-08-01,Minas Gerais,156.05555343
265,2017-09-01,Minas Gerais,142.28510384
266,2017-10-01,Minas Gerais,148.30609414
267,2017-11-01,Minas Gerais,142.32394476
268,2017-12-01,Minas Gerais,138.34119184
269,2018-01-01,Minas Gerais,146.50161807
270,2018-02-01,Minas Gerais,130.70212627
271,2018-03-01,Minas Gerais,151.49624519
272,2018-04-01,Minas Gerais,150.68760294999998
273,2018-05-01,Minas Gerais,153.58925944
274,2018-06-01,Minas Gerais,150.25175137
275,2018-07-01,Minas Gerais,156.63399016
276,2018-08-01,Minas Gerais,160.42004349
277,2018-09-01,Minas Gerais,145.94100754
278,2018-10-01,Minas Gerais,157.2475797
279,2018-11-01,Minas Gerais,148.17278399
280,2018-12-01,Minas Gerais,145.38724073
281,2019-01-01,Minas Gerais,153.17730519
282,2019-02-01,Minas Gerais,142.66915377
283,2019-03-01,Minas Gerais,151.94363056
284,2019-04-01,Minas Gerais,157.92259868
285,2019-05-01,Minas Gerais,163.59146178999998
286,2019-06-01,Minas Gerais,154.11482271
287,2019-07-01,Minas Gerais,166.73565041
288,2019-08-01,Minas Gerais,161.70782505000003
289,2019-09-01,Minas Gerais,157.41973193
290,2019-10-01,Minas Gerais,166.13380332
291,2019-11-01,Minas Gerais,152.10666017
292,2019-12-01,Minas Gerais,152.39859906
293,2020-01-01,Minas Gerais,158.09790397999998
294,2020-02-01,Minas Gerais,141.32317561000002
295,2020-03-01,Minas Gerais,147.07855629
296,2020-04-01,Minas Gerais,126.33064986
297,2020-05-01,Minas Gerais,136.86727575
298,2020-06-01,Minas Gerais,135.97757187
299,2020-07-01,Minas Gerais,120.46718734000001
300,2008-02-01,Paraná,48.855046460000004
301,2008-03-01,Paraná,55.61179107
302,2008-04-01,Paraná,56.11513582
303,2008-05-01,Paraná,55.57483193
304,2008-06-01,Paraná,56.09475474
305,2008-07-01,Paraná,59.80240207
306,2008-08-01,Paraná,56.69900113
307,2008-09-01,Paraná,58.09198579
308,2008-10-01,Paraná,61.365941219999996
309,2008-11-01,Paraná,59.66720862
310,2008-12-01,Paraná,57.81619774
311,2009-01-01,Paraná,60.38159399
312,2009-02-01,Paraná,57.23910163
313,2009-03-01,Paraná,69.0704882
314,2009-04-01,Paraná,64.05467826
315,2009-05-01,Paraná,68.68554295
316,2009-06-01,Paraná,67.93122706
317,2009-07-01,Paraná,70.95876264
318,2009-08-01,Paraná,69.22578395999999
319,2009-09-01,Paraná,67.84996851999999
320,2009-10-01,Paraná,68.55820928
321,2009-11-01,Paraná,67.15849697
322,2009-12-01,Paraná,63.09427428
323,2010-01-01,Paraná,66.90264363
324,2010-02-01,Paraná,64.50113364
325,2010-03-01,Paraná,77.13887059999999
326,2010-04-01,Paraná,70.75539699
327,2010-05-01,Paraná,73.45675671
328,2010-06-01,Paraná,71.83902089
329,2010-07-01,Paraná,73.01383077
330,2010-08-01,Paraná,76.15100695000001
331,2010-09-01,Paraná,74.24096345000001
332,2010-10-01,Paraná,73.04238670000001
333,2010-11-01,Paraná,76.36475027
334,2010-12-01,Paraná,70.51763839
335,2011-01-01,Paraná,74.71278407
336,2011-02-01,Paraná,71.31474025
337,2011-03-01,Paraná,76.91466809
338,2011-04-01,Paraná,74.23293737
339,2011-05-01,Paraná,81.70902105
340,2011-06-01,Paraná,74.99429281
341,2011-07-01,Paraná,77.03153232
342,2011-08-01,Paraná,80.71111215
343,2011-09-01,Paraná,75.62824777
344,2011-10-01,Paraná,77.69067156
345,2011-11-01,Paraná,75.10279758
346,2011-12-01,Paraná,69.16536612
347,2012-01-01,Paraná,74.22395949
348,2012-02-01,Paraná,72.96620862
349,2012-03-01,Paraná,80.91312373000001
350,2012-04-01,Paraná,78.13677681
351,2012-05-01,Paraná,85.40150652
352,2012-06-01,Paraná,77.80115384999999
353,2012-07-01,Paraná,83.52069095
354,2012-08-01,Paraná,83.83996103
355,2012-09-01,Paraná,79.1879891
356,2012-10-01,Paraná,84.98853101
357,2012-11-01,Paraná,78.72614677
358,2012-12-01,Paraná,71.08653043000001
359,2013-01-01,Paraná,81.23360417
360,2013-02-01,Paraná,73.97680167
361,2013-03-01,Paraná,83.9344661
362,2013-04-01,Paraná,91.65882798
363,2013-05-01,Paraná,87.74736352
364,2013-06-01,Paraná,87.78625731999999
365,2013-07-01,Paraná,91.3001665
366,2013-08-01,Paraná,92.86658349
367,2013-09-01,Paraná,88.69311676999999
368,2013-10-01,Paraná,92.45350476
369,2013-11-01,Paraná,82.38602999
370,2013-12-01,Paraná,76.97728436
371,2014-01-01,Paraná,85.53591311
372,2014-02-01,Paraná,82.97433396
373,2014-03-01,Paraná,88.16928683
374,2014-04-01,Paraná,86.56372973
375,2014-05-01,Paraná,92.56832461
376,2014-06-01,Paraná,87.76735512
377,2014-07-01,Paraná,94.61406692
378,2014-08-01,Paraná,91.49412119
379,2014-09-01,Paraná,91.34304575
380,2014-10-01,Paraná,94.90437335
381,2014-11-01,Paraná,87.56587066
382,2014-12-01,Paraná,80.30327943
383,2015-01-01,Paraná,83.53911638
384,2015-02-01,Paraná,79.57352324
385,2015-03-01,Paraná,97.76385309999999
386,2015-04-01,Paraná,89.98120623999999
387,2015-05-01,Paraná,94.20151778
388,2015-06-01,Paraná,94.11069323999999
389,2015-07-01,Paraná,97.51682203
390,2015-08-01,Paraná,99.11833219
391,2015-09-01,Paraná,95.94089473000001
392,2015-10-01,Paraná,98.26348546999999
393,2015-11-01,Paraná,98.7919845
394,2015-12-01,Paraná,88.99607581999999
395,2016-01-01,Paraná,93.32414908
396,2016-02-01,Paraná,91.92587655
397,2016-03-01,Paraná,106.1991392
398,2016-04-01,Paraná,100.62196913
399,2016-05-01,Paraná,105.82998744
400,2016-06-01,Paraná,107.37048861
401,2016-07-01,Paraná,106.29648992
402,2016-08-01,Paraná,111.18045475
403,2016-09-01,Paraná,104.10512415000001
404,2016-10-01,Paraná,105.53014867
405,2016-11-01,Paraná,101.12300143
406,2016-12-01,Paraná,96.70876109999999
407,2017-01-01,Paraná,103.8552713
408,2017-02-01,Paraná,96.4642841
409,2017-03-01,Paraná,119.14149381
410,2017-04-01,Paraná,106.02768778000001
411,2017-05-01,Paraná,120.53531296
412,2017-06-01,Paraná,111.72526122
413,2017-07-01,Paraná,118.59017207
414,2017-08-01,Paraná,122.12283572
415,2017-09-01,Paraná,110.65614771999999
416,2017-10-01,Paraná,117.56769191
417,2017-11-01,Paraná,112.45752294
418,2017-12-01,Paraná,105.55812329000001
419,2018-01-01,Paraná,116.13319349
420,2018-02-01,Paraná,107.07598223999999
421,2018-03-01,Paraná,122.33135451000001
422,2018-04-01,Paraná,124.73134517
423,2018-05-01,Paraná,127.07385311
424,2018-06-01,Paraná,122.61692402
425,2018-07-01,Paraná,127.9919008
426,2018-08-01,Paraná,131.2571634
427,2018-09-01,Paraná,120.64737743
428,2018-10-01,Paraná,129.53016395999998
429,2018-11-01,Paraná,121.81066926000001
430,2018-12-01,Paraná,112.98463073
431,2019-01-01,Paraná,124.15923968000001
432,2019-02-01,Paraná,117.71547331999999
433,2019-03-01,Paraná,123.90737222
434,2019-04-01,Paraná,127.44703366
435,2019-05-01,Paraná,132.57656312999998
436,2019-06-01,Paraná,124.85829237
437,2019-07-01,Paraná,134.62131553
438,2019-08-01,Paraná,127.17409504999999
439,2019-09-01,Paraná,126.1726795
440,2019-10-01,Paraná,133.84797848
441,2019-11-01,Paraná,126.20936922
442,2019-12-01,Paraná,113.54531890999999
443,2020-01-01,Paraná,122.2687541
444,2020-02-01,Paraná,116.06160252
445,2020-03-01,Paraná,114.47699752
446,2020-04-01,Paraná,96.72711219
447,2020-05-01,Paraná,106.10373762
448,2020-06-01,Paraná,92.90146136
449,2020-07-01,Paraná,80.32085269
450,2008-02-01,Rio Grande do Sul,45.89770482
451,2008-03-01,Rio Grande do Sul,52.92869592
452,2008-04-01,Rio Grande do Sul,51.97241677
453,2008-05-01,Rio Grande do Sul,51.67935079
454,2008-06-01,Rio Grande do Sul,53.75967401
455,2008-07-01,Rio Grande do Sul,56.391647770000006
456,2008-08-01,Rio Grande do Sul,56.23375874
457,2008-09-01,Rio Grande do Sul,57.91017098
458,2008-10-01,Rio Grande do Sul,59.592124909999995
459,2008-11-01,Rio Grande do Sul,57.56574208
460,2008-12-01,Rio Grande do Sul,55.69692094
461,2009-01-01,Rio Grande do Sul,61.52238002
462,2009-02-01,Rio Grande do Sul,52.10163777
463,2009-03-01,Rio Grande do Sul,65.11196549
464,2009-04-01,Rio Grande do Sul,61.59082891
465,2009-05-01,Rio Grande do Sul,64.40229162
466,2009-06-01,Rio Grande do Sul,63.090640549999996
467,2009-07-01,Rio Grande do Sul,69.13700487999999
468,2009-08-01,Rio Grande do Sul,66.06262979
469,2009-09-01,Rio Grande do Sul,65.22201132000001
470,2009-10-01,Rio Grande do Sul,67.56940919
471,2009-11-01,Rio Grande do Sul,64.1891153
472,2009-12-01,Rio Grande do Sul,62.24428279999999
473,2010-01-01,Rio Grande do Sul,65.48838787
474,2010-02-01,Rio Grande do Sul,56.964528310000006
475,2010-03-01,Rio Grande do Sul,69.93357714
476,2010-04-01,Rio Grande do Sul,66.48683562
477,2010-05-01,Rio Grande do Sul,69.10836747
478,2010-06-01,Rio Grande do Sul,67.57077009000001
479,2010-07-01,Rio Grande do Sul,70.07475473000001
480,2010-08-01,Rio Grande do Sul,70.88400917
481,2010-09-01,Rio Grande do Sul,65.07979492
482,2010-10-01,Rio Grande do Sul,66.55601562
483,2010-11-01,Rio Grande do Sul,66.09703085
484,2010-12-01,Rio Grande do Sul,61.73709813
485,2011-01-01,Rio Grande do Sul,66.91891309
486,2011-02-01,Rio Grande do Sul,61.370763600000004
487,2011-03-01,Rio Grande do Sul,69.0049748
488,2011-04-01,Rio Grande do Sul,66.22506829
489,2011-05-01,Rio Grande do Sul,72.17266973999999
490,2011-06-01,Rio Grande do Sul,70.77099238
491,2011-07-01,Rio Grande do Sul,70.83535817
492,2011-08-01,Rio Grande do Sul,73.67439094
493,2011-09-01,Rio Grande do Sul,68.3459745
494,2011-10-01,Rio Grande do Sul,70.41113431999999
495,2011-11-01,Rio Grande do Sul,68.00892209999999
496,2011-12-01,Rio Grande do Sul,65.69203928
497,2012-01-01,Rio Grande do Sul,71.52379574
498,2012-02-01,Rio Grande do Sul,64.13504124
499,2012-03-01,Rio Grande do Sul,73.62356814
500,2012-04-01,Rio Grande do Sul,69.01025819
501,2012-05-01,Rio Grande do Sul,76.607693
502,2012-06-01,Rio Grande do Sul,74.78542389
503,2012-07-01,Rio Grande do Sul,76.91694725
504,2012-08-01,Rio Grande do Sul,78.75812555
505,2012-09-01,Rio Grande do Sul,69.41347517
506,2012-10-01,Rio Grande do Sul,77.15556205
507,2012-11-01,Rio Grande do Sul,69.5908969
508,2012-12-01,Rio Grande do Sul,67.26719631
509,2013-01-01,Rio Grande do Sul,78.34644399
510,2013-02-01,Rio Grande do Sul,66.86756281
511,2013-03-01,Rio Grande do Sul,76.56294015
512,2013-04-01,Rio Grande do Sul,82.70569147
513,2013-05-01,Rio Grande do Sul,82.8553873
514,2013-06-01,Rio Grande do Sul,80.63841168
515,2013-07-01,Rio Grande do Sul,87.45653874
516,2013-08-01,Rio Grande do Sul,84.52638995000001
517,2013-09-01,Rio Grande do Sul,81.98392189
518,2013-10-01,Rio Grande do Sul,87.4523301
519,2013-11-01,Rio Grande do Sul,82.65369149
520,2013-12-01,Rio Grande do Sul,77.63656705
521,2014-01-01,Rio Grande do Sul,83.65572566
522,2014-02-01,Rio Grande do Sul,75.58444338
523,2014-03-01,Rio Grande do Sul,82.96505306
524,2014-04-01,Rio Grande do Sul,83.58585375
525,2014-05-01,Rio Grande do Sul,87.82140554
526,2014-06-01,Rio Grande do Sul,85.17600881
527,2014-07-01,Rio Grande do Sul,90.59215629
528,2014-08-01,Rio Grande do Sul,89.98004686
529,2014-09-01,Rio Grande do Sul,90.63554474
530,2014-10-01,Rio Grande do Sul,93.41654853
531,2014-11-01,Rio Grande do Sul,86.54682684999999
532,2014-12-01,Rio Grande do Sul,81.25360798
533,2015-01-01,Rio Grande do Sul,85.25147826999999
534,2015-02-01,Rio Grande do Sul,75.24426384
535,2015-03-01,Rio Grande do Sul,95.20707562999999
536,2015-04-01,Rio Grande do Sul,86.94222917
537,2015-05-01,Rio Grande do Sul,91.88853634
538,2015-06-01,Rio Grande do Sul,90.00769088
539,2015-07-01,Rio Grande do Sul,92.60361728
540,2015-08-01,Rio Grande do Sul,90.47394446
541,2015-09-01,Rio Grande do Sul,87.34776793
542,2015-10-01,Rio Grande do Sul,87.83400112999999
543,2015-11-01,Rio Grande do Sul,86.43958598
544,2015-12-01,Rio Grande do Sul,80.72170752
545,2016-01-01,Rio Grande do Sul,85.43516582
546,2016-02-01,Rio Grande do Sul,79.21193113
547,2016-03-01,Rio Grande do Sul,89.81793775
548,2016-04-01,Rio Grande do Sul,85.29735228
549,2016-05-01,Rio Grande do Sul,91.26110684
550,2016-06-01,Rio Grande do Sul,91.31001617
551,2016-07-01,Rio Grande do Sul,90.98832952
552,2016-08-01,Rio Grande do Sul,93.71541741
553,2016-09-01,Rio Grande do Sul,86.87232619
554,2016-10-01,Rio Grande do Sul,87.08997507
555,2016-11-01,Rio Grande do Sul,81.91963976000001
556,2016-12-01,Rio Grande do Sul,81.59947803
557,2017-01-01,Rio Grande do Sul,87.25598799
558,2017-02-01,Rio Grande do Sul,76.0704202
559,2017-03-01,Rio Grande do Sul,93.116698
560,2017-04-01,Rio Grande do Sul,83.18837966
561,2017-05-01,Rio Grande do Sul,95.14994863
562,2017-06-01,Rio Grande do Sul,93.17241499
563,2017-07-01,Rio Grande do Sul,94.41525759000001
564,2017-08-01,Rio Grande do Sul,94.22815801
565,2017-09-01,Rio Grande do Sul,86.42477365
566,2017-10-01,Rio Grande do Sul,91.59817914
567,2017-11-01,Rio Grande do Sul,85.79370048
568,2017-12-01,Rio Grande do Sul,82.73757448
569,2018-01-01,Rio Grande do Sul,91.82567154
570,2018-02-01,Rio Grande do Sul,77.58201238
571,2018-03-01,Rio Grande do Sul,91.07832519
572,2018-04-01,Rio Grande do Sul,91.92677379999999
573,2018-05-01,Rio Grande do Sul,91.67813198
574,2018-06-01,Rio Grande do Sul,90.98988784999999
575,2018-07-01,Rio Grande do Sul,94.86100809999999
576,2018-08-01,Rio Grande do Sul,96.79964323
577,2018-09-01,Rio Grande do Sul,87.34426909
578,2018-10-01,Rio Grande do Sul,97.37110006
579,2018-11-01,Rio Grande do Sul,90.19076767
580,2018-12-01,Rio Grande do Sul,81.7488803
581,2019-01-01,Rio Grande do Sul,92.46710001999999
582,2019-02-01,Rio Grande do Sul,85.30100044
583,2019-03-01,Rio Grande do Sul,91.62433870000001
584,2019-04-01,Rio Grande do Sul,92.78795322
585,2019-05-01,Rio Grande do Sul,99.11764375
586,2019-06-01,Rio Grande do Sul,95.84050987
587,2019-07-01,Rio Grande do Sul,103.02818947
588,2019-08-01,Rio Grande do Sul,98.54611009999999
589,2019-09-01,Rio Grande do Sul,94.3691898
590,2019-10-01,Rio Grande do Sul,96.91390471
591,2019-11-01,Rio Grande do Sul,90.97180922
592,2019-12-01,Rio Grande do Sul,88.72087359
593,2020-01-01,Rio Grande do Sul,97.47436262000001
594,2020-02-01,Rio Grande do Sul,85.45164634999999
595,2020-03-01,Rio Grande do Sul,84.65139659
596,2020-04-01,Rio Grande do Sul,76.29459695999999
597,2020-05-01,Rio Grande do Sul,86.07611342
598,2020-06-01,Rio Grande do Sul,89.01947881999999
599,2020-07-01,Rio Grande do Sul,78.92970381
600,2008-02-01,Rio de Janeiro,44.122593189999996
601,2008-03-01,Rio de Janeiro,42.89266552
602,2008-04-01,Rio de Janeiro,45.295962859999996
603,2008-05-01,Rio de Janeiro,43.95134946
604,2008-06-01,Rio de Janeiro,44.102925770000006
605,2008-07-01,Rio de Janeiro,44.34852004
606,2008-08-01,Rio de Janeiro,42.48793951
607,2008-09-01,Rio de Janeiro,43.06646147
